ts_utc,ticker,kind,side,price_c,contracts,cost,fee,spot,distance_bps
2026-08-09 00:38,KXBTC15M-26AUG082045-45,entry,yes,94,5,4.70,0.02,64939.08,3.59
2026-08-09 00:53,KXBTC15M-26AUG082100-00,entry,no,79,6,4.74,0.07,64908.70,1.63
2026-08-09 01:08,KXBTC15M-26AUG082115-15,entry,yes,67,7,4.69,0.11,64929.64,0.92
2026-08-09 01:23,KXBTC15M-26AUG082130-30,entry,no,92,5,4.60,0.03,64889.97,6.29
2026-08-09 01:38,KXBTC15M-26AUG082145-45,entry,yes,82,6,4.92,0.07,64830.59,2.15
2026-08-09 01:53,KXBTC15M-26AUG082200-00,entry,no,91,5,4.55,0.03,64806.00,4.28
2026-08-09 02:08,KXBTC15M-26AUG082215-15,entry,no,86,5,4.30,0.05,64780.53,5.08
2026-08-09 02:23,KXBTC15M-26AUG082230-30,entry,no,83,6,4.98,0.06,64781.00,3.25
2026-08-09 02:38,KXBTC15M-26AUG082245-45,entry,no,61,8,4.88,0.14,64780.50,1.74
2026-08-09 03:08,KXBTC15M-26AUG082315-15,entry,no,73,6,4.38,0.09,64758.19,2.08
2026-08-09 03:23,KXBTC15M-26AUG082330-30,entry,yes,90,5,4.50,0.04,64730.00,2.91
2026-08-09 03:38,KXBTC15M-26AUG082345-45,entry,no,62,8,4.96,0.14,64722.72,1.24
2026-08-09 03:53,KXBTC15M-26AUG090000-00,entry,no,62,8,4.96,0.14,64736.47,1.67
2026-08-09 04:08,KXBTC15M-26AUG090015-15,entry,yes,87,5,4.35,0.04,64748.90,1.88
2026-08-09 04:23,KXBTC15M-26AUG090030-30,entry,no,72,6,4.32,0.09,64758.88,1.21
2026-08-09 04:38,KXBTC15M-26AUG090045-45,entry,no,77,6,4.62,0.08,64758.54,1.91
2026-08-09 04:53,KXBTC15M-26AUG090100-00,entry,no,86,5,4.30,0.05,64728.48,4.40
2026-08-09 06:23,KXBTC15M-26AUG090230-30,entry,yes,94,5,4.70,0.02,64784.90,4.31
2026-08-09 06:38,KXBTC15M-26AUG090245-45,entry,yes,87,5,4.35,0.04,64801.51,2.64
2026-08-09 06:53,KXBTC15M-26AUG090300-00,entry,yes,67,7,4.69,0.11,64803.65,0.19
2026-08-09 07:08,KXBTC15M-26AUG090315-15,entry,no,64,7,4.48,0.12,64798.35,0.79
2026-08-09 07:23,KXBTC15M-26AUG090330-30,entry,no,82,6,4.92,0.07,64783.53,3.15
2026-08-09 07:38,KXBTC15M-26AUG090345-45,entry,no,76,6,4.56,0.08,64772.41,3.03
2026-08-09 07:53,KXBTC15M-26AUG090400-00,entry,no,76,6,4.56,0.08,64767.14,3.06
2026-08-09 08:08,KXBTC15M-26AUG090415-15,entry,yes,98,5,4.90,0.01,64856.50,11.83
2026-08-09 08:23,KXBTC15M-26AUG090430-30,entry,no,83,6,4.98,0.06,64850.67,2.73
2026-08-09 08:38,KXBTC15M-26AUG090445-45,entry,yes,83,6,4.98,0.06,64837.01,0.31
2026-08-09 09:08,KXBTC15M-26AUG090515-15,entry,yes,65,7,4.55,0.12,64775.96,0.62
2026-08-09 09:23,KXBTC15M-26AUG090530-30,entry,yes,65,7,4.55,0.12,64780.99,0.54
2026-08-09 09:38,KXBTC15M-26AUG090545-45,entry,yes,72,6,4.32,0.09,64768.23,0.64
2026-08-09 09:53,KXBTC15M-26AUG090600-00,entry,yes,82,6,4.92,0.07,64787.15,2.92
2026-08-09 10:08,KXBTC15M-26AUG090615-15,entry,yes,95,5,4.75,0.02,64847.13,4.97
2026-08-09 10:23,KXBTC15M-26AUG090630-30,entry,yes,83,6,4.98,0.06,64911.01,1.75
2026-08-09 10:38,KXBTC15M-26AUG090645-45,entry,no,92,5,4.60,0.03,64892.12,2.94
2026-08-09 10:53,KXBTC15M-26AUG090700-00,entry,yes,94,5,4.70,0.02,64919.92,4.42
2026-08-09 11:08,KXBTC15M-26AUG090715-15,entry,yes,81,6,4.86,0.07,64925.85,2.51
2026-08-09 11:38,KXBTC15M-26AUG090745-45,entry,yes,95,5,4.75,0.02,64945.01,3.47
2026-08-09 11:53,KXBTC15M-26AUG090800-00,entry,no,65,7,4.55,0.12,64924.54,2.09
2026-08-09 12:08,KXBTC15M-26AUG090815-15,entry,no,94,5,4.70,0.02,64872.54,5.00
2026-08-09 12:38,KXBTC15M-26AUG090845-45,entry,no,63,7,4.41,0.12,64892.00,0.28
2026-08-09 13:08,KXBTC15M-26AUG090915-15,entry,yes,97,5,4.85,0.02,64968.57,9.47
2026-08-09 13:23,KXBTC15M-26AUG090930-30,entry,yes,86,5,4.30,0.05,64992.18,3.11
2026-08-09 13:38,KXBTC15M-26AUG090945-45,entry,yes,96,5,4.80,0.02,65079.00,7.87
2026-08-09 13:53,KXBTC15M-26AUG091000-00,entry,no,62,8,4.96,0.14,65169.57,0.50
2026-08-09 14:08,KXBTC15M-26AUG091015-15,entry,yes,79,6,4.74,0.07,65197.27,3.96
2026-08-09 14:23,KXBTC15M-26AUG091030-30,entry,no,96,5,4.80,0.02,65127.42,9.53
