close_utc,ticker,strike,traded,skip_reason,side,entry_price_c,entry_spot,entry_distance_bps,adds,contracts,cost,fees,payout,gross_pnl,net_pnl,won
2026-08-10 11:00,KXBTC15M-26AUG100700-00,64960.98,1,,yes,78,64976.06,2.32,0,6,4.68,0.08,6.00,1.32,1.24,1
2026-08-10 11:15,KXBTC15M-26AUG100715-15,64967.58,0,odds 28c not above 60c,no,,64958.97,1.33,0,0,0.00,0.00,0.00,0.00,0.00,
2026-08-10 11:30,KXBTC15M-26AUG100730-30,64958.38,1,,yes,96,64986.49,4.33,0,5,4.80,0.02,5.00,0.20,0.18,1
2026-08-10 11:45,KXBTC15M-26AUG100745-45,65030.66,1,,no,77,65025.01,0.87,0,6,4.62,0.08,6.00,1.38,1.30,1
2026-08-10 12:00,KXBTC15M-26AUG100800-00,65015.24,1,,yes,64,65021.40,0.95,0,7,4.48,0.12,7.00,2.52,2.40,1
2026-08-10 12:15,KXBTC15M-26AUG100815-15,65079.46,1,,yes,89,65105.58,4.01,0,5,4.45,0.04,5.00,0.55,0.51,1
2026-08-10 12:30,KXBTC15M-26AUG100830-30,65083.18,1,,no,85,65029.71,8.22,0,5,4.25,0.05,5.00,0.75,0.70,1
2026-08-10 12:45,KXBTC15M-26AUG100845-45,65003.14,1,,no,96,64883.41,18.42,0,5,4.80,0.02,5.00,0.20,0.18,1
2026-08-10 13:00,KXBTC15M-26AUG100900-00,64967.31,1,,no,97,64863.23,16.02,0,5,4.85,0.02,5.00,0.15,0.13,1
2026-08-10 13:15,KXBTC15M-26AUG100915-15,64831.54,0,odds 39c not above 60c,no,,64813.86,2.73,0,0,0.00,0.00,0.00,0.00,0.00,
2026-08-10 13:30,KXBTC15M-26AUG100930-30,64833.85,1,,yes,95,64880.38,7.18,0,5,4.75,0.02,5.00,0.25,0.23,1
2026-08-10 13:45,KXBTC15M-26AUG100945-45,64879.16,1,,no,94,64661.22,33.59,0,5,4.70,0.02,5.00,0.30,0.28,1
2026-08-10 14:00,KXBTC15M-26AUG101000-00,64593.12,1,,no,89,64474.54,18.36,0,5,4.45,0.04,5.00,0.55,0.51,1
2026-08-10 14:15,KXBTC15M-26AUG101015-15,64509.78,1,,yes,94,64553.34,6.75,0,5,4.70,0.02,5.00,0.30,0.28,1
2026-08-10 14:30,KXBTC15M-26AUG101030-30,64678.42,0,odds 42c not above 60c,no,,64674.47,0.61,0,0,0.00,0.00,0.00,0.00,0.00,
2026-08-10 14:45,KXBTC15M-26AUG101045-45,64746.39,0,odds 35c not above 60c,no,,64723.27,3.57,0,0,0.00,0.00,0.00,0.00,0.00,
2026-08-10 15:00,KXBTC15M-26AUG101100-00,64789.63,1,,no,94,64623.80,25.60,0,5,4.70,0.02,5.00,0.30,0.28,1
2026-08-10 15:15,KXBTC15M-26AUG101115-15,64582.50,1,,yes,80,64589.55,1.09,0,6,4.80,0.07,0.00,-4.80,-4.87,0
2026-08-10 15:30,KXBTC15M-26AUG101130-30,64525.00,1,,no,92,64409.78,17.86,0,5,4.60,0.03,5.00,0.40,0.37,1
2026-08-10 16:00,KXBTC15M-26AUG101200-00,64292.64,1,,no,75,64155.72,21.30,0,6,4.50,0.08,6.00,1.50,1.42,1
2026-08-10 16:15,KXBTC15M-26AUG101215-15,64241.97,0,odds 33c not above 60c,no,,64211.33,4.77,0,0,0.00,0.00,0.00,0.00,0.00,
2026-08-10 16:30,KXBTC15M-26AUG101230-30,64169.00,1,,no,97,64011.84,24.49,0,5,4.85,0.02,5.00,0.15,0.13,1
2026-08-10 16:45,KXBTC15M-26AUG101245-45,64068.19,0,odds 50c not above 60c,yes,,64075.18,1.09,0,0,0.00,0.00,0.00,0.00,0.00,
2026-08-10 17:00,KXBTC15M-26AUG101300-00,63936.32,1,,no,83,63812.51,19.36,0,6,4.98,0.06,6.00,1.02,0.96,1
2026-08-10 17:15,KXBTC15M-26AUG101315-15,63832.01,1,,yes,67,63877.67,7.15,0,7,4.69,0.11,7.00,2.31,2.20,1
2026-08-10 17:30,KXBTC15M-26AUG101330-30,63941.66,1,,no,94,63890.75,7.96,0,5,4.70,0.02,5.00,0.30,0.28,1
2026-08-10 17:45,KXBTC15M-26AUG101345-45,63877.01,1,,yes,65,63889.18,1.91,0,7,4.55,0.12,7.00,2.45,2.33,1
2026-08-10 18:00,KXBTC15M-26AUG101400-00,63896.34,1,,no,86,63848.02,7.56,0,5,4.30,0.05,5.00,0.70,0.65,1
