ts_utc,ticker,kind,side,price_c,contracts,cost,fee,spot,distance_bps
2026-08-04 05:54,KXBTC15M-26AUG040200-00,add,no,89,5,4.45,0.04,63749.43,8.78
2026-08-04 06:08,KXBTC15M-26AUG040215-15,entry,yes,68,7,4.76,0.11,63772.46,1.34
2026-08-04 06:13,KXBTC15M-26AUG040215-15,add,yes,8,62,4.96,0.32,63735.45,4.46
2026-08-04 06:14,KXBTC15M-26AUG040215-15,add,yes,3,166,4.98,0.34,63744.45,3.05
2026-08-04 06:23,KXBTC15M-26AUG040230-30,entry,yes,88,5,4.40,0.04,63779.11,5.72
2026-08-04 06:25,KXBTC15M-26AUG040230-30,add,yes,81,6,4.86,0.07,63763.46,3.27
2026-08-04 06:27,KXBTC15M-26AUG040230-30,add,yes,65,7,4.55,0.12,63717.50,3.94
2026-08-04 06:28,KXBTC15M-26AUG040230-30,add,yes,6,83,4.98,0.33,63699.87,6.71
2026-08-04 06:29,KXBTC15M-26AUG040230-30,add,yes,1,500,5.00,0.35,63700.79,6.57
2026-08-04 06:38,KXBTC15M-26AUG040245-45,entry,no,75,6,4.50,0.08,63670.00,6.81
2026-08-04 06:53,KXBTC15M-26AUG040300-00,entry,no,91,5,4.55,0.03,63600.26,8.73
2026-08-04 07:08,KXBTC15M-26AUG040315-15,entry,no,76,6,4.56,0.08,63580.21,6.02
2026-08-04 07:23,KXBTC15M-26AUG040330-30,entry,no,95,5,4.75,0.02,63442.80,14.45
2026-08-04 07:25,KXBTC15M-26AUG040330-30,add,no,77,6,4.62,0.08,63507.80,4.22
2026-08-04 07:27,KXBTC15M-26AUG040330-30,add,no,28,17,4.76,0.24,63551.96,2.74
2026-08-04 07:28,KXBTC15M-26AUG040330-30,add,no,6,83,4.98,0.33,63555.81,3.34
2026-08-04 07:29,KXBTC15M-26AUG040330-30,add,no,1,500,5.00,0.35,63576.99,6.68
2026-08-04 07:38,KXBTC15M-26AUG040345-45,entry,yes,86,5,4.30,0.05,63607.51,5.52
2026-08-04 07:53,KXBTC15M-26AUG040400-00,entry,yes,80,6,4.80,0.07,63635.00,2.96
2026-08-04 08:23,KXBTC15M-26AUG040430-30,entry,no,92,5,4.60,0.03,63526.32,7.97
2026-08-04 08:26,KXBTC15M-26AUG040430-30,add,no,51,9,4.59,0.16,63598.70,3.41
2026-08-04 08:28,KXBTC15M-26AUG040430-30,add,no,31,16,4.96,0.24,63560.03,2.67
2026-08-04 08:38,KXBTC15M-26AUG040445-45,entry,no,87,5,4.35,0.04,63514.91,7.35
2026-08-04 09:08,KXBTC15M-26AUG040515-15,entry,no,82,6,4.92,0.07,63497.64,4.43
2026-08-04 09:23,KXBTC15M-26AUG040530-30,entry,yes,65,7,4.55,0.12,63529.35,1.77
2026-08-04 09:38,KXBTC15M-26AUG040545-45,entry,no,93,5,4.65,0.03,63477.84,5.84
2026-08-04 09:39,KXBTC15M-26AUG040545-45,add,no,88,5,4.40,0.04,63478.18,5.78
2026-08-04 09:41,KXBTC15M-26AUG040545-45,add,no,83,6,4.98,0.06,63499.61,2.41
2026-08-04 10:08,KXBTC15M-26AUG040615-15,entry,no,90,5,4.50,0.04,63470.38,9.27
2026-08-04 10:38,KXBTC15M-26AUG040645-45,entry,yes,70,7,4.90,0.11,63412.51,1.22
2026-08-04 10:39,KXBTC15M-26AUG040645-45,add,yes,66,7,4.62,0.11,63435.81,4.90
2026-08-04 10:53,KXBTC15M-26AUG040700-00,entry,yes,99,5,4.95,0.01,63685.30,22.10
2026-08-04 11:08,KXBTC15M-26AUG040715-15,entry,no,81,6,4.86,0.07,63678.95,2.57
2026-08-04 11:10,KXBTC15M-26AUG040715-15,add,no,50,10,5.00,0.18,63672.64,3.56
2026-08-04 11:23,KXBTC15M-26AUG040730-30,entry,yes,94,5,4.70,0.02,63719.20,6.29
2026-08-04 11:24,KXBTC15M-26AUG040730-30,add,yes,80,6,4.80,0.07,63704.32,3.95
2026-08-04 11:25,KXBTC15M-26AUG040730-30,add,yes,74,6,4.44,0.09,63706.26,4.25
2026-08-04 11:38,KXBTC15M-26AUG040745-45,entry,no,72,6,4.32,0.09,63675.80,6.57
2026-08-04 11:44,KXBTC15M-26AUG040745-45,add,no,7,71,4.97,0.33,63816.90,15.58
2026-08-04 11:53,KXBTC15M-26AUG040800-00,entry,yes,93,5,4.65,0.03,63876.44,15.51
2026-08-04 12:08,KXBTC15M-26AUG040815-15,entry,no,90,5,4.50,0.04,63789.01,10.98
2026-08-04 12:38,KXBTC15M-26AUG040845-45,entry,yes,96,5,4.80,0.02,63919.90,23.67
2026-08-04 13:08,KXBTC15M-26AUG040915-15,entry,yes,94,5,4.70,0.02,63923.06,10.59
2026-08-04 13:10,KXBTC15M-26AUG040915-15,add,yes,88,5,4.40,0.04,63915.92,9.47
2026-08-04 13:38,KXBTC15M-26AUG040945-45,entry,yes,74,6,4.44,0.09,63881.01,4.26
2026-08-04 13:39,KXBTC15M-26AUG040945-45,add,yes,67,7,4.69,0.11,63968.30,17.93
2026-08-04 13:53,KXBTC15M-26AUG041000-00,entry,no,98,5,4.90,0.01,63727.72,38.45
2026-08-04 14:08,KXBTC15M-26AUG041015-15,entry,yes,63,7,4.41,0.12,63680.50,6.10
2026-08-04 14:23,KXBTC15M-26AUG041030-30,entry,no,79,6,4.74,0.07,63679.02,8.23
2026-08-04 14:24,KXBTC15M-26AUG041030-30,add,no,71,7,4.97,0.11,63656.18,11.82
2026-08-04 14:26,KXBTC15M-26AUG041030-30,add,no,51,9,4.59,0.16,63769.11,5.90
2026-08-04 14:27,KXBTC15M-26AUG041030-30,add,no,24,20,4.80,0.26,63766.93,5.56
2026-08-04 14:28,KXBTC15M-26AUG041030-30,add,no,16,31,4.96,0.30,63753.72,3.49
2026-08-04 14:29,KXBTC15M-26AUG041030-30,add,no,7,71,4.97,0.33,63823.86,14.49
2026-08-04 14:38,KXBTC15M-26AUG041045-45,entry,yes,76,6,4.56,0.08,63890.14,10.49
2026-08-04 14:53,KXBTC15M-26AUG041100-00,entry,no,65,7,4.55,0.12,64014.82,5.60
2026-08-04 14:58,KXBTC15M-26AUG041100-00,add,no,30,16,4.80,0.24,64112.98,9.73
2026-08-04 15:23,KXBTC15M-26AUG041130-30,entry,no,74,6,4.44,0.09,63959.67,8.87
2026-08-04 15:38,KXBTC15M-26AUG041145-45,entry,no,93,5,4.65,0.03,63872.12,3.18
2026-08-04 15:39,KXBTC15M-26AUG041145-45,add,no,62,8,4.96,0.14,63855.15,5.83
2026-08-04 15:42,KXBTC15M-26AUG041145-45,add,no,42,11,4.62,0.19,63922.03,4.63
2026-08-04 15:43,KXBTC15M-26AUG041145-45,add,no,12,41,4.92,0.31,63968.52,11.91
2026-08-04 15:53,KXBTC15M-26AUG041200-00,entry,yes,92,5,4.60,0.03,64106.31,15.35
2026-08-04 16:08,KXBTC15M-26AUG041215-15,entry,no,94,5,4.70,0.02,63955.35,20.19
2026-08-04 16:23,KXBTC15M-26AUG041230-30,entry,yes,69,7,4.83,0.11,64043.56,10.44
2026-08-04 16:38,KXBTC15M-26AUG041245-45,entry,no,74,6,4.44,0.09,63886.31,17.50
2026-08-04 16:53,KXBTC15M-26AUG041300-00,entry,no,61,8,4.88,0.14,63882.04,2.46
2026-08-04 16:54,KXBTC15M-26AUG041300-00,add,no,52,9,4.68,0.16,63859.30,6.01
2026-08-04 17:08,KXBTC15M-26AUG041315-15,entry,yes,98,5,4.90,0.01,64115.69,32.11
2026-08-04 17:53,KXBTC15M-26AUG041400-00,entry,no,97,5,4.85,0.02,63924.86,23.68
2026-08-04 18:08,KXBTC15M-26AUG041415-15,entry,yes,95,5,4.75,0.02,64060.79,19.49
2026-08-04 18:23,KXBTC15M-26AUG041430-30,entry,yes,96,5,4.80,0.02,64308.21,26.86
2026-08-04 18:38,KXBTC15M-26AUG041445-45,entry,no,92,5,4.60,0.03,64230.25,15.70
2026-08-04 18:53,KXBTC15M-26AUG041500-00,entry,yes,80,6,4.80,0.07,64256.64,3.98
2026-08-04 18:54,KXBTC15M-26AUG041500-00,add,yes,76,6,4.56,0.08,64269.52,5.99
2026-08-04 18:56,KXBTC15M-26AUG041500-00,add,yes,70,7,4.90,0.11,64262.39,4.88
2026-08-04 19:08,KXBTC15M-26AUG041515-15,entry,yes,75,6,4.50,0.08,64288.75,4.79
2026-08-04 19:23,KXBTC15M-26AUG041530-30,entry,no,92,5,4.60,0.03,64218.93,12.60
2026-08-04 19:53,KXBTC15M-26AUG041600-00,entry,no,96,5,4.80,0.02,64257.25,13.28
2026-08-04 20:08,KXBTC15M-26AUG041615-15,entry,no,96,5,4.80,0.02,64133.11,18.24
2026-08-04 20:23,KXBTC15M-26AUG041630-30,entry,no,96,5,4.80,0.02,64061.13,12.16
2026-08-04 20:24,KXBTC15M-26AUG041630-30,add,no,91,5,4.55,0.03,64073.59,10.22
2026-08-04 20:38,KXBTC15M-26AUG041645-45,entry,yes,95,5,4.75,0.02,64191.29,15.60
2026-08-04 20:53,KXBTC15M-26AUG041700-00,entry,no,93,5,4.65,0.03,64281.46,11.37
2026-08-04 21:08,KXBTC15M-26AUG041715-15,entry,no,77,6,4.62,0.08,64259.21,6.45
2026-08-04 21:23,KXBTC15M-26AUG041730-30,entry,yes,67,7,4.69,0.11,64232.46,8.65
2026-08-04 21:38,KXBTC15M-26AUG041745-45,entry,no,81,6,4.86,0.07,64177.09,6.57
2026-08-04 21:40,KXBTC15M-26AUG041745-45,add,no,76,6,4.56,0.08,64174.27,7.00
2026-08-04 21:44,KXBTC15M-26AUG041745-45,add,no,59,8,4.72,0.14,64196.11,3.60
2026-08-04 21:53,KXBTC15M-26AUG041800-00,entry,no,80,6,4.80,0.07,64136.60,11.24
